episode,step,position,risk_level,action,reward,gestational_week
1,1,"(1, 0)",LOW,SPECIALIST_REFERRAL,-0.18856685780272597,13
1,2,"(1, 1)",LOW,SPECIALIST_REFERRAL,2.0848022490851403,15
1,3,"(1, 2)",LOW,SPECIALIST_REFERRAL,-0.46688249441320107,17
1,4,"(1, 2)",LOW,SPECIALIST_REFERRAL,1.0108287061001873,19
1,5,"(2, 2)",LOW,SPECIALIST_REFERRAL,0.8743596223636848,20
1,6,"(3, 2)",MODERATE,SPECIALIST_REFERRAL,2.41857182706289,22
1,7,"(3, 2)",MODERATE,SPECIALIST_REFERRAL,3.1691723960576077,23
1,8,"(3, 1)",MODERATE,SPECIALIST_REFERRAL,2.694268690063949,24
1,9,"(3, 2)",MODERATE,SPECIALIST_REFERRAL,1.4618423170691883,25
1,10,"(4, 2)",MODERATE,SPECIALIST_REFERRAL,1.5131839910182519,27
1,11,"(4, 3)",MODERATE,SPECIALIST_REFERRAL,2.6921068191377935,29
1,12,"(3, 3)",MODERATE,SPECIALIST_REFERRAL,1.1507697722591386,30
1,13,"(3, 4)",HIGH,SPECIALIST_REFERRAL,5.688605226067872,32
1,14,"(4, 5)",HIGH,SPECIALIST_REFERRAL,3.5911483749067656,34
1,15,"(5, 6)",HIGH,SPECIALIST_REFERRAL,7.7447962728307544,35
1,16,"(6, 7)",CRITICAL,SPECIALIST_REFERRAL,6.351660799813273,37
1,17,"(7, 7)",CRITICAL,INCREASED_MONITORING,3.8568139073828203,39
2,1,"(0, 1)",LOW,SPECIALIST_REFERRAL,1.8518947507717334,14
2,2,"(1, 1)",LOW,SPECIALIST_REFERRAL,1.5784202061430197,16
2,3,"(1, 0)",LOW,SPECIALIST_REFERRAL,1.1750849552968086,18
2,4,"(2, 0)",LOW,SPECIALIST_REFERRAL,1.4671952945687647,19
2,5,"(1, 0)",LOW,SPECIALIST_REFERRAL,0.7704769758892489,20
2,6,"(0, 0)",MODERATE,SPECIALIST_REFERRAL,-0.02100445161998099,21
2,7,"(0, 0)",MODERATE,SPECIALIST_REFERRAL,3.520717298437593,23
2,8,"(1, 0)",MODERATE,SPECIALIST_REFERRAL,0.8425819898797431,24
2,9,"(1, 0)",MODERATE,SPECIALIST_REFERRAL,0.9812774149743739,26
2,10,"(1, 0)",MODERATE,SPECIALIST_REFERRAL,1.5003838700149086,28
2,11,"(2, 0)",MODERATE,SPECIALIST_REFERRAL,0.20745081669623144,30
2,12,"(3, 0)",HIGH,SPECIALIST_REFERRAL,5.945825745696917,31
2,13,"(4, 1)",HIGH,SPECIALIST_REFERRAL,6.30820796428281,32
2,14,"(5, 2)",HIGH,SPECIALIST_REFERRAL,5.69115333767539,33
2,15,"(6, 3)",HIGH,SPECIALIST_REFERRAL,4.889289450527105,35
2,16,"(7, 4)",CRITICAL,SPECIALIST_REFERRAL,7.161396848584756,36
2,17,"(7, 5)",CRITICAL,SPECIALIST_REFERRAL,6.950184047511698,37
2,18,"(7, 6)",CRITICAL,SPECIALIST_REFERRAL,6.019861418785431,38
2,19,"(7, 7)",CRITICAL,SPECIALIST_REFERRAL,6.117089527216653,40
3,1,"(1, 0)",LOW,SPECIALIST_REFERRAL,0.48461021599590237,14
3,2,"(0, 0)",LOW,SPECIALIST_REFERRAL,0.312187812601578,16
3,3,"(0, 0)",LOW,SPECIALIST_REFERRAL,2.1012129851957386,17
3,4,"(0, 0)",LOW,SPECIALIST_REFERRAL,0.07190633772867716,18
3,5,"(0, 1)",LOW,SPECIALIST_REFERRAL,2.4748489646226774,20
3,6,"(0, 2)",MODERATE,SPECIALIST_REFERRAL,1.4016824110739847,21
3,7,"(1, 2)",MODERATE,SPECIALIST_REFERRAL,1.5170760168247708,23
3,8,"(0, 2)",MODERATE,SPECIALIST_REFERRAL,2.9235169522906013,25
3,9,"(0, 2)",MODERATE,SPECIALIST_REFERRAL,1.8747190239553697,27
3,10,"(0, 3)",MODERATE,SPECIALIST_REFERRAL,4.776031873624922,28
3,11,"(1, 3)",MODERATE,SPECIALIST_REFERRAL,2.069920797545207,30
3,12,"(0, 3)",HIGH,SPECIALIST_REFERRAL,6.416715895557784,32
3,13,"(1, 4)",HIGH,SPECIALIST_REFERRAL,5.795473883576942,34
