episode,step,position,risk_level,action,reward,gestational_week
1,1,"(0, 1)",LOW,NO_ACTION,0.6497930116460201,13
1,2,"(1, 1)",LOW,ROUTINE_MONITORING,5.40489998359374,14
1,3,"(0, 1)",LOW,SPECIALIST_REFERRAL,-0.03137547383605699,15
1,4,"(0, 1)",LOW,EXERCISE_PROGRAM,1.9092939515917315,16
1,5,"(0, 2)",LOW,DIETARY_COUNSELING,2.496398777219754,17
1,6,"(0, 2)",LOW,DIETARY_COUNSELING,3.1650048087416027,19
1,7,"(0, 2)",LOW,METFORMIN_PRESCRIPTION,0.9167337564727508,21
1,8,"(0, 1)",MODERATE,IMMEDIATE_INTERVENTION,2.386571117174557,22
1,9,"(0, 2)",MODERATE,SPECIALIST_REFERRAL,1.7113935825232816,24
1,10,"(0, 2)",MODERATE,ROUTINE_MONITORING,1.7801953280825782,25
1,11,"(0, 3)",MODERATE,STRESS_REDUCTION,1.5916230628326384,26
1,12,"(0, 2)",MODERATE,INCREASED_MONITORING,4.572838353784398,28
1,13,"(1, 2)",MODERATE,METFORMIN_PRESCRIPTION,1.9020921498395602,30
1,14,"(1, 1)",HIGH,EXERCISE_PROGRAM,1.9052199724824819,31
1,15,"(2, 2)",HIGH,METFORMIN_PRESCRIPTION,2.089458484924914,32
1,16,"(3, 3)",HIGH,DIETARY_COUNSELING,2.4583743276171792,33
1,17,"(4, 4)",HIGH,FAMILY_HISTORY_REVIEW,2.094355159609419,34
1,18,"(5, 5)",HIGH,SPECIALIST_REFERRAL,6.388810790001508,36
1,19,"(6, 6)",CRITICAL,NO_ACTION,3.1029124420387206,38
1,20,"(7, 7)",CRITICAL,EXERCISE_PROGRAM,3.2554148585106644,40
2,1,"(0, 0)",LOW,IMMEDIATE_INTERVENTION,0.901311053061216,14
2,2,"(0, 0)",LOW,INSULIN_THERAPY,0.5184248404339078,15
2,3,"(0, 1)",LOW,FAMILY_HISTORY_REVIEW,0.9529798002872965,16
2,4,"(0, 2)",LOW,ROUTINE_MONITORING,4.782831704191353,17
2,5,"(0, 2)",LOW,ROUTINE_MONITORING,4.286055754633623,19
2,6,"(0, 3)",LOW,NO_ACTION,1.3356814552825875,21
2,7,"(1, 3)",MODERATE,DIETARY_COUNSELING,1.8663757601927837,22
2,8,"(1, 2)",MODERATE,WEIGHT_MANAGEMENT,1.7175356494317129,24
