episode,step,position,risk_level,action,reward,gestational_week
1,1,"(0, 1)",LOW,NO_ACTION,0.6497930116460201,13
1,2,"(1, 1)",LOW,ROUTINE_MONITORING,5.40489998359374,14
1,3,"(0, 1)",LOW,SPECIALIST_REFERRAL,-0.03137547383605699,15
1,4,"(0, 1)",LOW,EXERCISE_PROGRAM,1.9092939515917315,16
1,5,"(0, 2)",LOW,DIETARY_COUNSELING,2.496398777219754,17
1,6,"(0, 2)",LOW,DIETARY_COUNSELING,3.1650048087416027,19
1,7,"(0, 2)",LOW,METFORMIN_PRESCRIPTION,0.9167337564727508,21
1,8,"(0, 1)",MODERATE,IMMEDIATE_INTERVENTION,2.386571117174557,22
1,9,"(0, 2)",MODERATE,SPECIALIST_REFERRAL,1.7113935825232816,24
1,10,"(0, 2)",MODERATE,ROUTINE_MONITORING,1.7801953280825782,25
1,11,"(0, 3)",MODERATE,STRESS_REDUCTION,1.5916230628326384,26
1,12,"(0, 2)",MODERATE,INCREASED_MONITORING,4.572838353784398,28
1,13,"(1, 2)",MODERATE,METFORMIN_PRESCRIPTION,1.9020921498395602,30
1,14,"(1, 1)",HIGH,EXERCISE_PROGRAM,1.9052199724824819,31
1,15,"(2, 2)",HIGH,METFORMIN_PRESCRIPTION,2.089458484924914,32
1,16,"(3, 3)",HIGH,DIETARY_COUNSELING,2.4583743276171792,33
1,17,"(4, 4)",HIGH,FAMILY_HISTORY_REVIEW,2.094355159609419,34
1,18,"(5, 5)",HIGH,SPECIALIST_REFERRAL,6.388810790001508,36
1,19,"(6, 6)",CRITICAL,NO_ACTION,3.1029124420387206,38
1,20,"(7, 7)",CRITICAL,EXERCISE_PROGRAM,3.2554148585106644,40
2,1,"(0, 0)",LOW,IMMEDIATE_INTERVENTION,0.901311053061216,14
2,2,"(0, 0)",LOW,INSULIN_THERAPY,0.5184248404339078,15
2,3,"(0, 1)",LOW,FAMILY_HISTORY_REVIEW,0.9529798002872965,16
2,4,"(0, 2)",LOW,ROUTINE_MONITORING,4.782831704191353,17
2,5,"(0, 2)",LOW,ROUTINE_MONITORING,4.286055754633623,19
2,6,"(0, 3)",LOW,NO_ACTION,1.3356814552825875,21
2,7,"(1, 3)",MODERATE,DIETARY_COUNSELING,1.8663757601927837,22
2,8,"(1, 2)",MODERATE,WEIGHT_MANAGEMENT,1.7175356494317129,24
2,9,"(1, 1)",MODERATE,INSULIN_THERAPY,2.2238875052962075,26
2,10,"(1, 0)",MODERATE,IMMEDIATE_INTERVENTION,3.0333800515591847,27
2,11,"(1, 1)",MODERATE,FAMILY_HISTORY_REVIEW,2.9374206625773134,29
2,12,"(1, 2)",MODERATE,COMPREHENSIVE_ASSESSMENT,2.7564897080740725,31
2,13,"(2, 3)",HIGH,DIETARY_COUNSELING,1.6909978263902532,33
2,14,"(3, 4)",HIGH,DIETARY_COUNSELING,2.1106011934439475,34
2,15,"(4, 5)",HIGH,INSULIN_THERAPY,1.6925831154174213,35
2,16,"(5, 6)",CRITICAL,EXERCISE_PROGRAM,3.2388655950694205,36
2,17,"(6, 7)",CRITICAL,INCREASED_MONITORING,2.984874954057297,37
2,18,"(7, 7)",CRITICAL,FAMILY_HISTORY_REVIEW,2.889649330486365,38
3,1,"(0, 1)",LOW,METFORMIN_PRESCRIPTION,1.002227847407637,14
3,2,"(1, 1)",LOW,NO_ACTION,0.25818815281023366,15
3,3,"(0, 1)",LOW,COMPREHENSIVE_ASSESSMENT,1.5644887993433798,17
3,4,"(0, 1)",LOW,STRESS_REDUCTION,1.3015444731606365,18
3,5,"(1, 1)",LOW,INCREASED_MONITORING,1.270397706141131,20
3,6,"(1, 2)",MODERATE,STRESS_REDUCTION,2.332650972925959,21
3,7,"(1, 3)",MODERATE,SPECIALIST_REFERRAL,1.7919076793686222,22
3,8,"(1, 3)",MODERATE,DIETARY_COUNSELING,2.651337096699375,24
3,9,"(1, 2)",MODERATE,FAMILY_HISTORY_REVIEW,2.153970810329505,26
3,10,"(1, 3)",MODERATE,ROUTINE_MONITORING,2.416940050924921,28
3,11,"(1, 4)",MODERATE,INCREASED_MONITORING,3.8273218251832546,29
3,12,"(1, 3)",MODERATE,STRESS_REDUCTION,0.8201846048776404,30
3,13,"(1, 4)",HIGH,INSULIN_THERAPY,1.3666063013327268,31
3,14,"(2, 5)",HIGH,METFORMIN_PRESCRIPTION,2.1889415743253493,32
3,15,"(3, 6)",HIGH,INCREASED_MONITORING,1.6266107347757595,34
3,16,"(4, 7)",HIGH,FAMILY_HISTORY_REVIEW,2.2210244030511666,35
3,17,"(5, 7)",CRITICAL,FAMILY_HISTORY_REVIEW,3.109651933747649,36
3,18,"(6, 7)",CRITICAL,COMPREHENSIVE_ASSESSMENT,2.524090565266702,38
3,19,"(7, 7)",CRITICAL,NO_ACTION,3.5029840885696584,39
