episode,step,position,risk_level,action,reward,gestational_week
1,1,"(0, 0)",LOW,EXERCISE_PROGRAM,5.537169016654728,13
1,2,"(0, 1)",LOW,EXERCISE_PROGRAM,2.194329293724982,15
1,3,"(0, 1)",LOW,EXERCISE_PROGRAM,2.5173717554371184,16
1,4,"(0, 1)",LOW,EXERCISE_PROGRAM,2.545717279606122,18
1,5,"(1, 1)",LOW,EXERCISE_PROGRAM,-0.16010020986438223,19
1,6,"(1, 2)",LOW,EXERCISE_PROGRAM,2.760362873818434,21
1,7,"(1, 1)",MODERATE,EXERCISE_PROGRAM,5.305051182222124,22
1,8,"(1, 1)",MODERATE,EXERCISE_PROGRAM,5.325182993404918,23
1,9,"(2, 1)",MODERATE,EXERCISE_PROGRAM,4.0482814991087555,24
1,10,"(2, 1)",MODERATE,EXERCISE_PROGRAM,3.684419871183536,25
1,11,"(1, 1)",MODERATE,EXERCISE_PROGRAM,3.152426184380079,26
1,12,"(1, 2)",MODERATE,EXERCISE_PROGRAM,2.4075493434051047,27
1,13,"(1, 3)",MODERATE,EXERCISE_PROGRAM,3.5687231124280725,29
1,14,"(2, 3)",MODERATE,SPECIALIST_REFERRAL,3.301846542852917,30
1,15,"(2, 4)",HIGH,EXERCISE_PROGRAM,-0.1407424080591655,32
1,16,"(3, 5)",HIGH,SPECIALIST_REFERRAL,5.736916905108493,33
1,17,"(4, 6)",HIGH,EXERCISE_PROGRAM,2.0944540335245323,35
1,18,"(5, 7)",CRITICAL,EXERCISE_PROGRAM,3.220423097682736,36
1,19,"(6, 7)",CRITICAL,EXERCISE_PROGRAM,3.0217195615877337,38
1,20,"(7, 7)",CRITICAL,EXERCISE_PROGRAM,2.9905356809378407,40
